,Sampling1,Sampling2,Sampling3,Sampling4,Sampling5
LogReg,0.46113989637305697,0.866580310880829,0.9883419689119171,0.8898963730569949,0.21761658031088082
RandFor,0.6256476683937824,1.0,1.0,1.0,0.33678756476683935
SVC,0.5544041450777202,0.7487046632124352,0.9883419689119171,0.6722797927461139,0.3626943005181347
KNN,0.5971502590673575,0.9805699481865285,0.9883419689119171,0.7914507772020726,0.19041450777202074
XGBC,0.6930051813471503,1.0,1.0,1.0,0.09844559585492228
