,Sampling1,Sampling2,Sampling3,Sampling4,Sampling5
LogReg,0.8888888888888888,1.0,0.1111111111111111,0.8888888888888888,0.8888888888888888
RandFor,1.0,1.0,1.0,1.0,1.0
SVC,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.4444444444444444
KNN,0.5555555555555556,1.0,0.0,1.0,0.4444444444444444
XGBC,1.0,1.0,1.0,1.0,1.0
